
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:    7e+04
 4.68542  0.746988  45000 
 4.69058  0.795181  45000 
 4.69576  0.843373  45000 
 4.70094  0.891566  45000 
 4.70613  0.939759  45000 
 4.71134  0.987952  45000 
 4.71656  1.03614  45000 
 4.71717  1.04177  45000 
 4.72158  1.08434  45000 
 4.72659  1.13253  45000 
 4.73161  1.18072  45000 
 4.73663  1.22892  45000 
 4.74167  1.27711  45000 
 4.74672  1.3253  45000 
 4.75179  1.37349  45000 
 4.75686  1.42169  45000 
 4.76194  1.46988  45000 
 4.76704  1.51807  45000 
 4.77215  1.56627  45000 
 4.77727  1.61446  45000 
 4.7824  1.66265  45000 
 4.78755  1.71084  45000 
 4.78788  1.71397  45000 
 4.79248  1.75904  45000 
 4.79741  1.80723  45000 
 4.80236  1.85542  45000 
 4.80731  1.90361  45000 
 4.81227  1.95181  45000 
 4.81725  2  45000 
 4.82224  2.04819  45000 
 4.82723  2.09639  45000 
 4.83224  2.14458  45000 
 4.83727  2.19277  45000 
 4.8423  2.24096  45000 
 4.84734  2.28916  45000 
 4.8524  2.33735  45000 
 4.85747  2.38554  45000 
 4.85859  2.39617  45000 


# Contour 8, label:    4e+04
 4.7307  2.38554  40000 
 4.73573  2.43373  40000 
 4.74076  2.48193  40000 
 4.74581  2.53012  40000 
 4.75087  2.57831  40000 
 4.75594  2.62651  40000 
 4.76102  2.6747  40000 
 4.76612  2.72289  40000 
 4.77123  2.77108  40000 
 4.77635  2.81928  40000 
 4.78148  2.86747  40000 
 4.78663  2.91566  40000 
 4.78788  2.92738  40000 
 4.7916  2.96386  40000 
 4.79653  3.01205  40000 
 4.80146  3.06024  40000 
 4.80641  3.10843  40000 
 4.81137  3.15663  40000 
 4.81634  3.20482  40000 
 4.82133  3.25301  40000 
 4.82633  3.3012  40000 
 4.83133  3.3494  40000 
 4.83635  3.39759  40000 
 4.84139  3.44578  40000 
 4.84643  3.49398  40000 
 4.85149  3.54217  40000 
 4.85656  3.59036  40000 
 4.85859  3.60959  40000 
 4.8615  3.63855  40000 
 4.86635  3.68675  40000 
 4.87121  3.73494  40000 
 4.87609  3.78313  40000 
 4.88097  3.83133  40000 
 4.88587  3.87952  40000 
 4.89078  3.92771  40000 
 4.8957  3.9759  40000 
 4.90063  4.0241  40000 
 4.90558  4.07229  40000 
 4.91053  4.12048  40000 
 4.9155  4.16867  40000 
 4.92049  4.21687  40000 
 4.92548  4.26506  40000 
 4.92929  4.3018  40000 
 4.93043  4.31325  40000 
 4.9352  4.36145  40000 
 4.93999  4.40964  40000 
 4.94479  4.45783  40000 
 4.9496  4.50602  40000 
 4.95443  4.55422  40000 
 4.95926  4.60241  40000 
 4.96411  4.6506  40000 
 4.96896  4.6988  40000 
